模型,ROC_AUC,PR_AUC,Gini,KS,F1,Recall,Precision
逻辑回归,0.8597,0.3813,0.7193,0.5735,0.3338,0.7807,0.2122
XGBoost (调优后),0.8659,0.4045,0.7318,0.585,0.4591,0.52,0.411
